s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
32,1,5,2,1,1,1,1,1,1,1
30,2,3,2,2,3,2,3,1,2,1
41,1,3,2,2,1,1,1,1,1,1
53,2,4,2,2,1,1,2,1,1,1
24,2,4,2,1,1,1,1,1,1,1
64,1,3,3,2,2,1,2,1,1,2
50,2,3,1,1,1,1,1,1,1,2
51,2,4,1,1,1,1,2,1,1,1
24,2,4,3,2,2,2,4,3,1,4
30,2,4,2,2,1,1,3,2,1,3
49,1,4,1,1,1,1,1,3,3,2
38,1,4,2,2,1,1,2,2,2,3
64,1,4,2,2,2,2,2,2,2,2
52,1,4,3,1,1,1,2,1,1,1
30,2,4,2,2,3,2,2,1,2,2
56,1,5,2,2,1,1,2,2,1,3
48,1,4,3,3,3,2,3,3,3,4
61,2,3,3,3,2,2,2,2,2,3
60,2,5,2,2,3,2,2,1,3,2
23,2,4,2,2,2,2,2,2,2,2
60,1,3,3,3,2,1,3,1,2,4
30,2,5,1,1,3,2,3,3,2,4
19,2,5,2,1,2,1,1,1,1,1
35,2,4, , , , , , , , 
58,1,4,1,1,1,1,2,2,1,2
58,1,4,2,1,2,1,1,1,1,1
28,1,4,1,1,1,1,1,1,1,2
48,1,3,2,3,1,1,1,1,1,1
61,1,4,4,4,4,4,4,4,4,4
49,1,4,2,1,1,1,1,1,1,4
56,2,4,2,2,1,1,2,1,1,1
51,1,5,2,2,1,1,1,1,1,3
34,1,4,2,2,2,2,2,2,2,3
53,1,4,1,1,1,1,1,1,1,1
47,1,4,2,2,1,1,2,1,1,2
31,1,4,2,2,2,2,2,2,2,2
39,1,3,2,2,2,2,2,3,1,3
56,2,3,3,3,2,1,1,1,1,2
22,2,3,3,3,2,2,1,2,1,2
64,2,4,1,1,1,1,1,1,1,1
55,1,3,1,1,1,1,1,1,2,1
26,2,2,2,1,1,1,1,1,1,1
64,2,2,2,3,1,1,2,1,2,2
54,2,3,1,1,1,1,1,1,1,3
41,2,4,3,3,2,3,4,3,1,4
50,2,4,4,3,3,3,3,2,3,3
55,2,4,4,4,3,3,3,2,3,4
47,2,2,2,2,2,1,1,2,1,2
33,1,4,3,3,2,2,2,1,3,3
61,2,5,3,2,1,1,1,1,1,1
24,2,3,3,3,2,2,3,1,1,3
63,2,4,2,2,1,1,2,1,1,2
53,2,3,3,4,3,3,3,2,2,4
43,2,3,2,2,1,1,2,2,1,1
33,1,5,1,1,1,1,1,3,1,2
43,2,5,1,1,1,1,1,1,1,1
24,2,1,2,2,2,3,1,1,2,3
44,2,4,3,2,1,1,1,1,1,1
59,2,4,2,3,2,2,2,2,3,3
56,1,2,2,2,2,2,2,3,3,3
60,2,3,1,1,1,1,1,1,1,2
41,1,4,2,2,2,2,2,2,2,2
21,1,4,1,1,1,1,1,1,1,1
55,2,3,3,2,1,1,1,1,3,2
22,2,4,3,2,3,3,3,2,4,2
55,1,4,2,2,2,1,2,1,3,2
60,1,2,3,3,3,3,3,3,3,3
55,2,3,2,1,1,1,1,1,1,3
55,2,3,2,2,1,1,1,2,1,3
 , , , , , , , , , , 
36,1,3,2,1,1,1,1,1,1,1
50,1,2,1,1,1,1,1,1,1,1
36,2,4,2,2,2,2,2,2,2,2
28,1,5,1,1,1,1,1,1,1,1
49,1,4,3,2,1,1,2,1,1,1
45,1,4,2,2,1,1,2,1,1,2
28,1,4,1,1,1,1,1,1,1,1
19,1,1,2,3,4,2,3,3,2,2
54,2,3,1,1,1,1,1,1,1,1
29,2,3,3,3,3,3,3,3,2,3
57,1,4,3,2,1,1,2,1,1,1
43,2,5,2,2,2,1,1,2,2,2
45,2,2,1,1,1,1,1,1,1,1
53,1,2,2,1,1,1,1,1,1,1
53,2,4,4,4,2,3,3,4,2,3
24,2,2,4,4,3,4,4,1,2,4
22,2,2,1,1,2,1,1,4,1,1
52,2,4,2,2,3,2,3,1,2,3
56,2,4,4,4,2,3,4,2,4,3
59,1,4,2,2,1,1,1,1,1,2
57,2,3,2,2,1,1,1,1,1,1
47,2,2,1,1,1,1,1,1,1,2
53,2,3,2,2,3,3,3,2,2,2
39,1,4,2,2,3,2,2,2,1,3
46,1,3,3,3,3,2,2,2,2,3
42,2,4,3,2,2,1,1,1,1,2
41,2,4,2,2,1,1,1,1,1,1
58,2,4,3,3,2,2,3,2,1,2
33,1,5,2,2,2,2,3,1,3,3
58,2,5,2,2,2,2,2,2,2,3
53,1,5,2,2,2,2,2,3,2,2
45,1,5,2,1,1,1,1,1,1,1
37,1,4,2,2,2,2,2,2,2,2
47,1,5,3,2,2,2,2,2,2,2
26,2,2,1,1,1,1,1,1,1,1
28,1,4,2,2,2,2,2,2,2,1
60,1,3,1,1,2,1,1,1,1,1
46,2,5,3,2,1,2,2,3,1,2
23,1,4,2,2,2,2,2,2,2,2
24,1,2,2,3,3,3,2,2,3,3
44,1,4,3,3,2,2,2,1,1,1
56,2,3,3,2,2,2,2,2,2,2
58,1,4,2,2,1,1,1,1,1,1
61,2,2,2,2,2,2,3,3,2,3
48,1,3,1,1,1,1,1,1,1,1
43,1,4,1,1,1,1,1,1,1,1
56,1,5,2,2,2,2,2,2,1,2
42,2,4,2,2,2,2,2,2,2,3
40,2,3,2,2,2,2,1,1,1,2
41,1,3,1,1,1,1,1,1,1,1
57,1,4,3,3,2,3,3,2,4,3
22,1,3,1,1,1,1,1,2,1,2
37,1,4,1,1,1,1,1,1,1,2
63,2,3,3,3,2,2,2,2,3,2
39,2,2,1,1,1,2,2,1,1,1
25,2,4,3,3,3,4,4,2,3,3
36,1,5,2,1,1,1,1,1,1,2
46,1,3,3,4,4,3,3,2,3,3
54,2,3,4,4,3,3,3,4,3,4
35,1,4,2,2,2,2,2,2,2,2
51,2,4,1,2,2,2,1,2,2,2
45,1,4,1,1,1,1,1,1,1,1
56,2,4,2,2,2,1,2,2,2,3
41,1,2,3,3,3,4,3,3,4,3
42,2,3,4,1,3,1,2,3,1,1
58,2,2,3,3,3,3,3,3,3,4
56,1,4,2,1,1,1,1,1,1,2
31,1,3,2,2,2,2,2,2,2,2
31,2,4,3,3,2,2,2,1,1,3
28,1,3,1,1,1,1,1,1,1,1
19,2,4,2,1,4,2,2,4,3,4
55,1,2,2,2,2,1,1,2,1,3
48,2,5,3,2,2,2,1,1,1,2
35,2,3,1,1,1,1,1,1,1,1
42,1,3,2,2,2,2,2,4,3,1
53,1,3,1,1,1,1,1,1,1,1
60,1,5,2,1,1,1,2,1,1,1
52,2,3,2,2,2,2,2,2,2,2
37,2,3,4,4,3,3,4,2,2,3
41,2,2,3,2,2,2,2,2,3,3
38,1,5,2,1,1,1,1,1,1,2
 , , , , , , , , , , 
50,1,1,2,2,2,2,2,2,2,2
50,2,5,2,2,1,1,1,1,1,2
30,2,5,3,3,2,2,2,2,2,4
47,1,5,3,3,3,3,3,1,2,3
37,1,5,1,1,1,1,1,1,1,1
52,2,3,2,2,1,1,2,2,1,2
23,2,3, , , , , , , , 
41,1,4,3,2,2,2,2,2,3,3
18,2,1,1,1,3,1,1,2,2,3
39,1,3,2,2,1,1,1,1,1,1
24,1,5,1,1,2,1,1,1,1,1
63,2,4,2,2,3,1,1,2,2,2
41,1,4,2,3,2,1,2,1,1,2
21,2,2,2,1,2,1,3,2,1,1
55,1,4,2,2,1,1,3,2,1,3
42,1,5,2,1,2,1,1,1,1,1
40,2,4,2,1,1,1,1,1,1,2
38,1,3,2,2,2,2,2,2,2,2
34,1,4,2,1,1,1,2,1,2,3
61,1,2,2,1,1,1,2,1,2,3
38,2,2,2,3,2,2,2,1,2,3
40,1,2,1,1,1,1,1,1,1,1
41,2,4,3,2,2,3,2,4,3,4
51,1,4,3,3,2,1,2,1,2,2
51,1,5,2,1,1,1,1,1,1,1
55,2,4,2,2,2,1,1,3,1,4
20,1,1,2,2,1,3,2,1,1,1
55,1,4,2,3,2,2,2,3,3,3
41,2,3,3,2,2,2,3,2,3,3
26,2,3,2,1,1,3,1,1,1,1
64,2,3,1,1,1,1,2,1,1,1
 , , , , , , , , , , 
46,1,4,1,1,2,1,1,1,1,2
50,1,3,3,3,2,2,3,2,4,4
47,1,4,2,2,1,1,2,1,1,2
23,2,5,1,1,1,1,1,1,1,1
24,1,4,2,1,2,2,2,2,2,2
28,1,3,2,1,1,1,2,1,1,3
55,1,4,2,1,1,1,2,1,1,1
57,1,4,2,2,2,1,2,3,4,4
31,1,4,2,1,1,1,1,1,1,1
48,1,3,2,2,2,2,2,1,1,2
64,1,3,3,2,3,2,2,3,3,3
37,1,4,3,3,2,1,1,1,1,4
23,2,3,2,2,1,1,1,1,1,1
25,1,4,4,3,3,3,3,2,3,3
45,1,5,3,2,1,1,1,1,1,2
41,1,3,1,1,1,1,1,1,1,4
45,2,5,2,1,1,1,2,1,1,2
49,1,4,2,2,2,2,2,1,2,1
 , , , , , , , , , , 
49,1,3,1,1,1,1,3,1,1,2
25,2,3,2,1,1,1,1,1,1,1
31,2,4,1,1,1,1,1,1,1,1
30,2,3,1,1,1,1,1,1,1,1
34,2,3,4,4,4,4,4,3,3,3
44,1,3,1,1,1,1,1,1,1,1
42,1,3,1,1,1,1,1,1,1,1
46,1,4,3,2,1,1,1,1,1,4
41,2,2,3,1,1,1,1,1,1,1
55,2,4,2,1,2,2,2,2,2,2
50,1,4,1,1,1,1,1,3,1,1
54,2,1,3,4,3,2,4,4,3,4
21,2,3,3,2,3,2,1,2,1,2
23,1,4,2,3,1,2,2,1,1,1
41,2,4,1,3,1,1,3,2,1,4
50,1,5,2,2,1,1,1,1,1,1
37,1,4,3,3,3,3,3,1,3,4
53,1,4,1,1,1,1,1,2,1,3
46,2,5,3,2,3,2,3,2,2,4
40,1,3,2,2,1,1,1,2,1,3
48,2,5,2,1,1,1,1,1,1,1
41,2,4,2,1,1,1,1,1,1,2
23,2,1,2,2,2,2,2,2,2,2
27,2,4,2,2,2,1,1,2,2,1
28,1,4,1,1,1,1,1,1,1,2
39,1,5,2,2,2,2,2,3,1,2
41,2,4,2,2,2,1,2,1,1,1
61,1,4,1,1,2,1,1,1,4,4
34,2,4,2,2,2,1,2,2,1,2
50,2,4,3,3,3,3,3,3,2,3
44,2,4,2,2,1,1,1,1,1,2
37,1,5,1,1,1,1,1,1,1,1
35,1,4,1,1,1,1,1,1,1,1
59,1,5,1,1,1,1,1,1,1,1
55,1,4,1,1,1,1,3,2,1,1
26,2,5,2,1,3,3,2,4,3,2
60,2,4,3,3,1,1,3,1,2,3
46,1,4,2,3,4,1,2,3,4,4
44,2,5,2,2,1,1,1,1,1,2
48,1,5,2,2,3,2,2,3,2,3
23,2,4,1,1,1,1,1,1,2,2
23,1,4,1,2,1,1,2,1,1,1
50,2,4,2,2,1,1,2,3,3,3
55,1,4,2,2,1,1,1,1,1,1
55,2,3,1,1,1,1,1,3,1,4
29,2,3,2,1,1,1,1,1,1,1
58,1,3,2,2,1,1,2,1,1,2
63,2,2,2,2,1,1,1,1,2,2
55,1,4,3,3,3,2,2,3,2,2
28,2,3,3,2,4,1,2,4,4,4
26,2,3,3,2,3,1,2,1,2,1
62,1,3,1,1,1,1,1,1,1,1
28,2,4,3,3,2,2,2,3,2,3
51,1,3,1,1,1,1,1,1,1,1
50,1,4,2,1,1,1,1,1,1,1
45,1,4,2,2,1,1,1,1,1,1
43,2,4,3,2,3,1,2,1,2,4
40,2,4,2,2,2,2,1,1,1,1
30,2,4,4,4,3,3,3,2,3,3
30,2,5,4,4,4,4,4,4,3,4
49,1,4,2,1,1,1,1,1,1,3
23,1,4,1,1,1,1,1,1,1,1
56,1,4,3,4,3,3,4,3,2,4
59,2,1, , , , , , , , 
64,2,4,4,4,3,2,2,4,3,4
49,1,5, , , , , , , , 
41,1,4,1,1,1,1,1,1,1,1
55,1,4,2,3,3,2,2,2,3,2
58,1,3,2,1,1,1,1,1,1,1
21,2,4,1,2,2,1,1,4,2,2
35,1,2,4,3,3,4,3,3,4,3
61,2, , , , , , , , , 
32,1,4,2,3,3,3,3,3,2,3
61,2,4,2,2,2,2,2,2,2,2
54,1, ,1,1,1,1,1,1,1,1
53,1,4,3,2,2,1,1,1,1,1
45,2,3,2,3,3,3,3,3,3,3
51,1,3,2,2,1,1,1,1,2,1
46,1,3,3,3,2,3,2,1,2,2
32,2,4,1,1,1,1,1,1,1,1
56,2,3,3,3,3,2,2,2,2,2
44,1,2,2,2,1,1,1,2,1,2
61,2,4,3,3,3,3,3,3,3,3
42,2,4,3,3,3,3,3,1,1,3
21,2,5,1,1,3,1,1,1,4,3
36,1,5,2,1,2,1,1,3,2,3
50,1,5,3,3,3,3,3,3,3,3
48,2,3,3,3,2,2,2,2,2,3
56,1,2,2,1,1,1,1,1,1,2
62,2,2,2,2,2,2,2,1,3,3
23,2,3,3,2,2,2,2,2,2,3
24,2,2,1,2,2,2,2,1,2,2
54,2,4,2,3,1,1,2,2,1,3
23,1,3,4,3,2,1,2,2,1,3
46,2,2,3,3,2,1,1,1,1,1
40,2,4,3,2,2,2,2,2,2,4
20,2,2,2,2,1,1,2,2,1,1
58,2,5, , , , , , , , 
26,1,4,2,2,1,2,2,1,1,2
53,1,2,2,2,2,1,1,2,2,3
37,1,5,1,1,1,1,1,1,1,2
21,1,4,1,1,1,1,1,1,1,1
49,1,5,3,3,3,2,2,3,3,3
24,1,2,2,2,2,2,2,2,2,2
43,1,3,2,2,1,1,1,1,1,1
42,1,5,2,1,1,1,1,3,2,2
49,1, ,3,3,4,4,4,2,4,3
30,2,3,3,2,2,1,1,1,1,3
49,2,4,2,1,2,1,1,1,1,1
23,2,5,2,2,2,2,2,1,1,3
64,1,2,2,1,1,2,2,1,1,2
19,1,4,2,2,3,2,2,3,4,3
31,1,4,1,1,4,3,3,4,1,3
27,1,3,2,2,1,1,2,2,1,3
58,1,4,2,1,3,2,2,1,3,3
42,1,4,2,3,2,2,3,2,2,2
31,1,4,2,2,2,1,1,2,1,1
37,1,4,1,1,1,1,1,1,1,2
61,1,2, , , , , , , , 
46,1,5,1,1,2,1,1,1,1,2
63,1,3,1,1,1,1,1,1,1,1
27,2,4,3,2,1,1,2,3,2,2
26,2,3,2,1,2,1,1,1,2,1
25,1,5,1,1,1,1,1,1,1,1
45,2,4,1,1,1,1,1,1,1,1
48,2,3,2,2,2,2,2,2,2,2
30,2,3,4,3,3,2,3,2,2,3
26,2,4,2,2,1,1,2,1,1,1
43,2,3,1,1,1,1,1,1,1,4
22,2,4,4,4,4,3,4,2,1,4
52,2,5,2,2,2,2,2,2,3,3
23,1,4,2,2,2,2,3,3,3,4
58,2,5,3,3,3,3,4,2,2,3
25,1,5,2,1,1,1,2,2,1,2
44,2,3,3,3,3,2,3,2,2,4
21,1,1,2,2,4,2,2,3,3,4
45,2,4,2,1,2,1,2,2,1,2
56,2,3,3,2,1,1,2,1,1,2
64,2,1,1,1,2,1,1,1,1,2
64,1,2,2,2,2,2,2,2,2,2
59,2,3,2,2,1,2,3,1,1,2
26,1,3,2,1,1,1,1,1,1,1
55,2,5,2,2,1,1,1,1,1,1
51,1,4,3,2,2,2,2,1,1,2
40,2,3,2,2,3,2,2,2,2,4
45,2,3, , , , , , , , 
32,2,2,1,1,1,1,1,1,1,1
50,2,3,2,2,2,2,2,1,1,2
26,2,3,2,2,1,1,1,1,1,1
62,1,4,3,2,3,2,3,1,3,3
40,1,4,1,1,1,1,1,1,2,1
52,2,2,3,2,2,2,1,3,2,2
55,2,2,3,3,3,3,3,3,2,2
40,1,3,1,1,1,1,1,1,1,1
41,2,2,4,4,1,1,2,1,2,1
22,1,4,1,1,1,1,1,1,1,1
60,1,3, , , , , , , , 
51,1,5,2,1,1,1,1,1,1,2
50,1,4,1,1,1,1,1,1,1,1
64,1,2,3,2,1,2,3,2,2,2
31,1,2,3,3,3,3,3,3,3,3
21,1,4,2,2,3,1,2,1,3,3
44,1,5,2,2,2,2,2,2,2,2
39,1,4,3,3,1,1,2,1,1,1
19,1,2,1,2,1,2,2,1,1,2
57,2,3,3,3,2,1,2,1,1,2
34,1,3,3,2,2,1,2,1,1,1
45,2,3,2,3,2,2,2,3,3,3
31,1,4,1,1,1,1,1,1,1,1
22,2,4,1,2,2,1,1,1,1,1
52,1,4,1,1,1,1,1,1,1,1
25,2,4,2,2,3,3,3,3,2,2
29,1,5,1,1,1,1,1,1,2,3
25,1,5,1,1,1,1,1,1,1,1
47,1,4,3,1,1,1,2,1,1,2
64,1,2,2,2,2,2,2,1,1,2
45,1,3,2,1,1,1,1,1,1,1
30,2,2,2,1,3,1,2,2,2,1
40,2,4,3,3,2,2,2,1,1,2
24,2,5,3,3,3,2,2,2,2,1
55,2,4,2,2,2,2,2,1,2,2
63,2,3,3,3,3,2,2,2,3,3
46,1,4,2,2,1,2,2,1,1,2
48,2,3,3,3,2,2,3,2,2,3
55,2,4,2,2,2,2,2,1,2,3
61,2,3,3,3,2,2,2,3,2,3
26,2,4,2,2,1,1,1,1,1,1
21,1,5,2,1,1,1,1,1,1,1
30,1,5,1,1,1,1,1,1,1,2
59,2,3,3,3,3,3,3,3,2,3
54,2,4,2,2,3,2,2,2,2,3
43,1,4,3,3,3,3,3,4,4,4
30,2,4,2,1,1,1,1,1,1,2
54,1,3,2,2,2,2,2,2,2,2
50,1,3,2,1,2,1,1,2,3,2
29,1,4,3,2,2,3,2,3,2,3
56,1,4,1,1,1,1,2,1,1,1
54,1,4,2,2,2,2,2,2,2,2
60,2,3,2,2,1,2,2,1,1,2
48,2,2,3,3,3,3,3,3,3,3
38,1,4,4,3,3,3,3,2,2,3
40,1,2,2,2,1,2,2,1,1,1
35,1,4,2,2,1,2,2,1,1,2
18,1,4,3,2,2,2,2,2,2,2
22,1,2,2,1,1,1,1,1,1,2
50,1,3,1,1,1,1,1,1,1,1
23,2, , , , , , , , , 
26,1,2,1,1,1,1,1,1,1,3
19,1,4,2,2,2,2,3,3,3,3
59,1,4,2,1,1,1,2,1,2,1
57,2,4,1,1,1,1,1,1,1,1
23,1,3,1,1,1,1,1,1,1,1
63,2,4,2,2,1,1,1,2,1,2
39,2,4,2,2,2,2,2,2,2,2
41,2,4,2,2,2,2,2,2,2,2
56,2,5,1,2,1,1,2,1,1,1
57,1,5,2,1,1,1,1,2,2,2
