s.age.t4,s.gen.t4,s.inc.t4,ad.1.t4,ad.2.t4,ad.3.t4,ad.4.t4,ad.5.t4,ad.6.t4,ad.7.t4,ad.8.t4
24,1,4,2,2,2,1,1,1,1,1
50,1,2,2,2,2,2,2,2,2,3
59,1,3,2,1,2,1,1,1,2,1
20,2,1,4,2,2,3,3,1,4,1
36,2,2,2,2,1,1,2,2,2,1
33,2,3,3,2,1,1,1,1,1,1
21,1,4,1,1,2,1,1,1,1,2
35,2,3,2,2,2,2,2,2,2,2
33,2,5,3,3,3,3,3,3,3,3
35,2,2,3,2,2,1,2,2,2,3
55,2,3,3,2,1,1,2,1,2,2
34,2,3,3,3,2,2,2,3,1,4
59,2,4,2,1,1,1,1,1,1,1
58,1,5,1,1,1,1,1,1,1,1
37,1,4,2,2,2,2,2,1,2,2
64,2,3,3,2,1,2,3,3,4,4
52,2,3,3,2,3,1,2,1,2,3
28,2,4,2,4,3,3,3,4,4,3
26,1,3,1,1,1,1,1,1,1,1
56,2,4,3,3,2,2,3,3,2,3
55,1,2,2,2,1,1,1,1,1,1
30,2,3,2,2,2,1,1,1,1,2
58,2,2,3,2,2,3,2,2,2,3
58,2,1,2,2,2,2,2,2,2,1
46,1,4,2,2,2,1,2,2,3,2
55,2,2,3,3,2,3,2,2,2,2
58,1,4,3,2,2,2,1,2,1,2
31,2,4,2,2,2,1,2,2,2,2
21,2,3,2,1,1,1,1,1,1,1
63,1,4,1,1,1,1,1,1,1,1
22,2,4,1,1,1,1,1,1,1,2
38,2,3,1,1,1,1,1,1,1,3
59,1,3,2,2,1,1,2,1,1,1
48,1,5,2,2,2,1,2,2,1,2
46,2,4,2,2,1,1,2,1,1,2
38,2,4,2,2,1,1,1,2,1,1
43,1,2,1,1,1,1,1,1,1,1
30,2,3,2,2,2,2,2,2,1,2
27,2,3,1,1,1,1,1,1,1,1
24,2,5,4,4,3,3,4,3,2,3
55,2,4,3,3,2,1,2,1,1,1
38,1,5,3,2,3,3,3,3,2,3
51,1,2,4,4,3,3,3,3,3,4
39,1,4,3,2,2,1,1,1,2,2
32,2,3,2,2,1,1,2,1,1,1
30,2,4,2,2,2,1,1,2,2,2
57,1,5,2,2,1,1,2,2,2,2
49,2,5,3,2,2,3,3,2,2,3
38,1,3,3,4,1,1,4,4,2,1
50,2,4,1,1,1,1,1,1,1,1
22,1,4,2,2,1,1,1,1,1,1
39,2,4,2,1,1,1,1,1,1,1
24,2,4,1,1,1,1,1,2,1,3
40,1,4,2,1,1,1,1,1,1,2
30,2,5,2,2,1,1,2,1,1,2
39,2,3,2,2,3,2,3,3,1,2
46,1,3,1,1,1,1,1,1,1,1
24,2,4,3,3,2,3,3,1,1,2
21,1,2,1,1,1,1,1,1,1,1
56,2,3,2,1,1,1,2,1,1,2
37,2,4,3,2,2,3,2,1,2,1
49,1,4,2,1,1,1,2,4,2,2
32,2,2,1,1,1,1,1,1,1,1
45,1,1,1,1,2,1,1,1,1,3
50,1,5,2,2,2,2,2,3,2,4
57,1,4,4,3,3,3,3,4,2,3
61,2,3,3,2,1,1,1,1,1,2
33,2,3,1,1,1,1,1,1,1,1
43,1,4,3,1,1,1,1,1,3,3
26,1,5,3,2,2,1,2,1,1,2
47,1,4,1,1,1,1,1,1,1,2
40,1,4,3,3,3,3,2,2,2,2
47,1,3,3,4,3,3,3,3,3,3
56,1,1,1,1,1,1,1,1,1,1
53,2,3,4,4,2,3,3,2,2,4
57,1,5,1,1,1,1,1,1,1,1
31,1,3,1,1,1,1,1,1,1,1
48,2,5,2,3,2,3,3,2,1,1
36,2,4,1,1,1,1,1,1,1,2
